Time, Data
0:0:0:0, 0 
0:0:0:22, 0 
0:0:0:39, 0 
0:0:0:54, 0 
0:0:0:70, 0 
0:0:0:85, 0 
0:0:0:101, 0 
0:0:0:117, 0 
0:0:0:133, 0 
0:0:0:149, 0 
0:0:0:165, 0 
0:0:0:181, 0 
0:0:0:197, 0 
0:0:0:212, 0 
0:0:0:228, 0 
0:0:0:244, 0 
0:0:0:260, 0 
0:0:0:276, 0 
0:0:0:292, 0 
0:0:0:308, 0 
0:0:0:324, 0 
0:0:0:340, 0 
0:0:0:355, 0 
0:0:0:370, 0 
0:0:0:386, 0 
0:0:0:402, 0 
0:0:0:418, 0 
0:0:0:434, 0 
0:0:0:450, 0 
0:0:0:466, 0 
0:0:0:481, 2048 
0:0:0:497, 0 
0:0:0:513, 0 
0:0:0:529, 0 
0:0:0:545, 0 
0:0:0:560, 2048 
0:0:0:576, 0 
0:0:0:592, 0 
0:0:0:607, 0 
0:0:0:622, 0 
0:0:0:638, 0 
0:0:0:653, 0 
0:0:0:669, 0 
0:0:0:685, 0 
0:0:0:701, 0 
0:0:0:717, 0 
0:0:0:733, 0 
0:0:0:749, 0 
0:0:0:765, 0 
0:0:0:781, 0 
0:0:0:797, 2048 
0:0:0:813, 2048 
0:0:0:829, 0 
0:0:0:845, 0 
0:0:0:861, 0 
0:0:0:877, 0 
0:0:0:893, 0 
0:0:0:909, 0 
0:0:0:925, 0 
0:0:0:941, 0 
0:0:0:956, 2048 
0:0:0:972, 2048 
0:0:0:988, 0 
0:0:1:3, 0 
0:0:1:19, 0 
0:0:1:35, 0 
0:0:1:52, 0 
0:0:1:68, 0 
0:0:1:84, 0 
0:0:1:99, 0 
0:0:1:115, 0 
0:0:1:131, 0 
0:0:1:147, 0 
0:0:1:163, 0 
0:0:1:179, 0 
0:0:1:195, 0 
0:0:1:210, 0 
0:0:1:226, 0 
0:0:1:242, 0 
0:0:1:258, 0 
0:0:1:274, 0 
0:0:1:290, 0 
0:0:1:305, 0 
0:0:1:321, 2048 
0:0:1:337, 2048 
0:0:1:353, 0 
0:0:1:369, 0 
0:0:1:385, 0 
0:0:1:401, 0 
0:0:1:417, 0 
0:0:1:432, 0 
0:0:1:448, 0 
0:0:1:464, 0 
0:0:1:480, 0 
0:0:1:496, 0 
0:0:1:512, 0 
0:0:1:528, 0 
0:0:1:543, 0 
0:0:1:558, 0 
0:0:1:574, 2048 
0:0:1:590, 0 
0:0:1:606, 0 
0:0:1:621, 2048 
0:0:1:637, 0 
0:0:1:652, 0 
0:0:1:667, 0 
0:0:1:683, 0 
0:0:1:699, 2048 
0:0:1:715, 0 
0:0:1:730, 0 
0:0:1:746, 0 
0:0:1:762, 0 
0:0:1:778, 0 
0:0:1:793, 0 
0:0:1:809, 0 
0:0:1:825, 0 
0:0:1:840, 2048 
0:0:1:855, 0 
0:0:1:871, 0 
0:0:1:887, 0 
0:0:1:903, 0 
0:0:1:919, 2048 
0:0:1:935, 0 
0:0:1:951, 0 
0:0:1:967, 0 
0:0:1:983, 0 
0:0:1:999, 2048 
0:0:2:15, 0 
0:0:2:31, 0 
0:0:2:47, 0 
0:0:2:62, 2048 
0:0:2:78, 0 
0:0:2:94, 0 
0:0:2:110, 2048 
0:0:2:126, 0 
0:0:2:142, 0 
0:0:2:158, 0 
0:0:2:174, 0 
0:0:2:190, 0 
0:0:2:206, 0 
0:0:2:222, 0 
0:0:2:237, 0 
0:0:2:254, 2048 
0:0:2:270, 0 
0:0:2:286, 0 
0:0:2:302, 0 
0:0:2:318, 0 
0:0:2:334, 0 
0:0:2:350, 0 
0:0:2:365, 0 
0:0:2:381, 0 
0:0:2:397, 0 
0:0:2:413, 0 
0:0:2:429, 2048 
0:0:2:445, 0 
0:0:2:460, 0 
0:0:2:476, 0 
0:0:2:492, 0 
0:0:2:508, 0 
0:0:2:524, 0 
0:0:2:539, 0 
0:0:2:555, 0 
0:0:2:571, 0 
0:0:2:587, 0 
0:0:2:603, 2048 
0:0:2:618, 0 
0:0:2:633, 0 
0:0:2:649, 0 
0:0:2:664, 0 
0:0:2:680, 0 
0:0:2:695, 0 
0:0:2:711, 0 
0:0:2:727, 2048 
