Time, Data
0:0:0:0, 1478 
0:0:0:11, 1465 
0:0:0:27, 1422 
0:0:0:43, 1363 
0:0:0:60, 1348 
0:0:0:76, 1296 
0:0:0:92, 1267 
0:0:0:107, 1240 
0:0:0:122, 1210 
0:0:0:137, 1174 
0:0:0:153, 1162 
0:0:0:168, 1158 
0:0:0:183, 1154 
0:0:0:199, 1151 
0:0:0:215, 1183 
0:0:0:230, 1282 
0:0:0:246, 1569 
0:0:0:261, 1887 
0:0:0:278, 2247 
0:0:0:293, 2599 
0:0:0:309, 2906 
0:0:0:324, 3237 
0:0:0:339, 3371 
0:0:0:354, 3438 
0:0:0:369, 3417 
0:0:0:384, 3340 
0:0:0:400, 3242 
0:0:0:416, 3147 
0:0:0:432, 3046 
0:0:0:448, 2932 
0:0:0:464, 2783 
0:0:0:480, 2659 
0:0:0:496, 2562 
0:0:0:512, 2438 
0:0:0:528, 2350 
0:0:0:544, 2277 
0:0:0:560, 2258 
0:0:0:575, 2257 
0:0:0:590, 2271 
0:0:0:605, 2279 
0:0:0:621, 2288 
0:0:0:637, 2289 
0:0:0:652, 2275 
0:0:0:667, 2247 
0:0:0:682, 2205 
0:0:0:698, 2164 
0:0:0:714, 2105 
0:0:0:730, 2050 
0:0:0:746, 1988 
0:0:0:762, 1927 
0:0:0:778, 1861 
0:0:0:793, 1784 
0:0:0:808, 1705 
0:0:0:823, 1650 
0:0:0:839, 1582 
0:0:0:854, 1533 
0:0:0:869, 1468 
0:0:0:884, 1398 
0:0:0:900, 1376 
0:0:0:916, 1337 
0:0:0:932, 1302 
0:0:0:948, 1272 
0:0:0:964, 1241 
0:0:0:980, 1214 
0:0:0:996, 1202 
0:0:1:11, 1232 
0:0:1:26, 1323 
0:0:1:41, 1373 
0:0:1:56, 1506 
0:0:1:71, 1785 
0:0:1:87, 2230 
0:0:1:102, 2450 
0:0:1:117, 2842 
0:0:1:132, 3071 
0:0:1:148, 3291 
0:0:1:164, 3362 
0:0:1:179, 3366 
0:0:1:195, 3302 
0:0:1:211, 3219 
0:0:1:227, 3139 
0:0:1:242, 3049 
0:0:1:258, 2936 
0:0:1:274, 2864 
0:0:1:289, 2725 
0:0:1:304, 2640 
0:0:1:319, 2561 
0:0:1:335, 2447 
0:0:1:351, 2387 
0:0:1:366, 2356 
0:0:1:382, 2331 
0:0:1:398, 2311 
0:0:1:414, 2296 
0:0:1:430, 2272 
0:0:1:445, 2249 
0:0:1:460, 2209 
0:0:1:476, 2167 
0:0:1:492, 2121 
0:0:1:507, 2077 
0:0:1:522, 2007 
0:0:1:538, 1943 
0:0:1:553, 1877 
0:0:1:568, 1822 
0:0:1:583, 1750 
0:0:1:599, 1662 
0:0:1:615, 1595 
0:0:1:631, 1534 
0:0:1:647, 1489 
0:0:1:663, 1434 
0:0:1:679, 1395 
0:0:1:694, 1348 
0:0:1:709, 1322 
0:0:1:725, 1296 
0:0:1:740, 1271 
0:0:1:755, 1248 
0:0:1:771, 1217 
0:0:1:786, 1184 
0:0:1:802, 1155 
0:0:1:818, 1148 
0:0:1:834, 1167 
0:0:1:850, 1284 
0:0:1:866, 1561 
0:0:1:882, 1969 
0:0:1:897, 2307 
0:0:1:912, 2631 
0:0:1:928, 2981 
0:0:1:944, 3227 
0:0:1:960, 3316 
0:0:1:975, 3319 
0:0:1:990, 3267 
0:0:2:6, 3164 
0:0:2:22, 3061 
0:0:2:38, 2958 
0:0:2:53, 2851 
0:0:2:69, 2712 
0:0:2:84, 2625 
0:0:2:100, 2478 
0:0:2:116, 2424 
0:0:2:132, 2332 
0:0:2:148, 2267 
0:0:2:164, 2242 
0:0:2:179, 2231 
0:0:2:195, 2248 
0:0:2:210, 2269 
0:0:2:225, 2277 
0:0:2:240, 2281 
0:0:2:256, 2269 
0:0:2:272, 2249 
0:0:2:288, 2209 
0:0:2:304, 2158 
0:0:2:319, 2104 
0:0:2:334, 2060 
0:0:2:350, 1979 
0:0:2:366, 1908 
0:0:2:382, 1841 
0:0:2:398, 1758 
0:0:2:414, 1696 
0:0:2:430, 1627 
0:0:2:445, 1573 
0:0:2:460, 1520 
0:0:2:475, 1472 
0:0:2:491, 1426 
0:0:2:507, 1379 
0:0:2:523, 1351 
0:0:2:539, 1313 
0:0:2:555, 1286 
0:0:2:571, 1262 
0:0:2:587, 1250 
0:0:2:603, 1245 
0:0:2:619, 1274 
0:0:2:635, 1448 
0:0:2:651, 1744 
0:0:2:666, 2031 
0:0:2:681, 2232 
0:0:2:696, 2425 
0:0:2:712, 2687 
0:0:2:728, 2834 
0:0:2:744, 2899 
0:0:2:760, 3073 
0:0:2:776, 3157 
0:0:2:791, 3168 
0:0:2:807, 3127 
0:0:2:823, 3048 
0:0:2:839, 2957 
0:0:2:855, 2856 
0:0:2:871, 2772 
0:0:2:887, 2661 
0:0:2:902, 2542 
0:0:2:917, 2418 
0:0:2:932, 2358 
0:0:2:948, 2246 
0:0:2:964, 2163 
0:0:2:980, 2119 
0:0:2:996, 2107 
0:0:3:12, 2132 
0:0:3:27, 2163 
0:0:3:42, 2180 
0:0:3:57, 2184 
0:0:3:73, 2169 
0:0:3:88, 2149 
0:0:3:103, 2114 
0:0:3:118, 2070 
0:0:3:133, 2013 
0:0:3:148, 1984 
0:0:3:163, 1942 
0:0:3:179, 1879 
0:0:3:195, 1810 
0:0:3:211, 1742 
0:0:3:227, 1670 
0:0:3:243, 1619 
0:0:3:259, 1556 
0:0:3:275, 1498 
0:0:3:291, 1441 
0:0:3:306, 1395 
0:0:3:321, 1362 
0:0:3:337, 1323 
0:0:3:353, 1302 
0:0:3:368, 1282 
0:0:3:383, 1257 
0:0:3:398, 1244 
0:0:3:414, 1220 
0:0:3:429, 1195 
0:0:3:444, 1177 
0:0:3:460, 1159 
0:0:3:476, 1175 
0:0:3:492, 1278 
0:0:3:508, 1446 
0:0:3:524, 1901 
0:0:3:540, 2330 
0:0:3:556, 2626 
0:0:3:572, 2878 
0:0:3:587, 3137 
0:0:3:603, 3242 
0:0:3:618, 3241 
0:0:3:633, 3181 
0:0:3:648, 3094 
0:0:3:663, 2994 
0:0:3:679, 2923 
0:0:3:695, 2902 
0:0:3:710, 2859 
0:0:3:725, 2808 
0:0:3:741, 2737 
0:0:3:756, 2641 
0:0:3:771, 2590 
0:0:3:787, 2482 
0:0:3:803, 2408 
0:0:3:819, 2316 
0:0:3:835, 2275 
0:0:3:851, 2263 
0:0:3:866, 2263 
0:0:3:882, 2271 
0:0:3:898, 2276 
0:0:3:913, 2276 
0:0:3:928, 2264 
0:0:3:944, 2237 
0:0:3:960, 2203 
0:0:3:975, 2159 
0:0:3:991, 2113 
0:0:4:7, 2055 
0:0:4:23, 1975 
0:0:4:39, 1913 
0:0:4:55, 1832 
0:0:4:71, 1763 
0:0:4:87, 1697 
0:0:4:102, 1652 
0:0:4:117, 1611 
0:0:4:133, 1557 
0:0:4:149, 1509 
0:0:4:165, 1472 
0:0:4:180, 1436 
0:0:4:196, 1412 
0:0:4:212, 1385 
0:0:4:228, 1368 
0:0:4:244, 1347 
0:0:4:260, 1327 
0:0:4:275, 1309 
0:0:4:290, 1274 
0:0:4:305, 1259 
0:0:4:320, 1262 
0:0:4:335, 1332 
0:0:4:350, 1539 
0:0:4:366, 1984 
0:0:4:382, 2292 
0:0:4:398, 2756 
