Time, Data
0:0:0:0, 2096 
0:0:0:17, 2096 
0:0:0:32, 2097 
0:0:0:48, 2097 
0:0:0:64, 2097 
0:0:0:79, 2098 
0:0:0:94, 2100 
0:0:0:110, 2100 
0:0:0:126, 2098 
0:0:0:142, 2094 
0:0:0:158, 2084 
0:0:0:174, 2077 
0:0:0:189, 2068 
0:0:0:204, 2064 
0:0:0:219, 2063 
0:0:0:235, 2062 
0:0:0:251, 2058 
0:0:0:267, 2055 
0:0:0:283, 2052 
0:0:0:299, 2048 
0:0:0:315, 2041 
0:0:0:330, 2037 
0:0:0:346, 2032 
0:0:0:361, 2025 
0:0:0:377, 2021 
0:0:0:393, 2017 
0:0:0:409, 2016 
0:0:0:424, 2010 
0:0:0:439, 2005 
0:0:0:455, 1999 
0:0:0:471, 1992 
0:0:0:487, 1985 
0:0:0:503, 1979 
0:0:0:518, 1973 
0:0:0:534, 1969 
0:0:0:550, 1965 
0:0:0:565, 1962 
0:0:0:580, 1958 
0:0:0:596, 1954 
0:0:0:612, 1953 
0:0:0:627, 1954 
0:0:0:643, 1954 
0:0:0:658, 1953 
0:0:0:673, 1951 
0:0:0:688, 1946 
0:0:0:704, 1598 
0:0:0:720, 1583 
0:0:0:736, 1628 
0:0:0:752, 1718 
0:0:0:767, 1861 
0:0:0:782, 1980 
0:0:0:798, 2078 
0:0:0:814, 2177 
0:0:0:830, 2203 
0:0:0:845, 2201 
0:0:0:860, 2185 
0:0:0:875, 2170 
0:0:0:890, 2165 
0:0:0:905, 2170 
0:0:0:920, 2176 
0:0:0:936, 2177 
0:0:0:952, 2165 
0:0:0:968, 2148 
0:0:0:983, 2129 
0:0:0:999, 2073 
0:0:1:15, 2032 
0:0:1:31, 2002 
0:0:1:46, 1992 
0:0:1:62, 1994 
0:0:1:78, 1991 
0:0:1:94, 1985 
0:0:1:110, 1973 
0:0:1:125, 1937 
0:0:1:140, 1902 
0:0:1:155, 1871 
0:0:1:171, 1842 
0:0:1:187, 1822 
0:0:1:203, 1811 
0:0:1:219, 1793 
0:0:1:234, 1777 
0:0:1:249, 1766 
0:0:1:265, 1758 
0:0:1:281, 1739 
0:0:1:296, 1714 
0:0:1:312, 1683 
0:0:1:328, 1664 
0:0:1:344, 1647 
0:0:1:359, 1629 
0:0:1:374, 1606 
0:0:1:389, 1598 
0:0:1:405, 1591 
0:0:1:420, 1588 
0:0:1:435, 1592 
0:0:1:451, 1591 
0:0:1:467, 1588 
0:0:1:483, 1583 
0:0:1:499, 1567 
0:0:1:515, 1567 
0:0:1:530, 1580 
0:0:1:546, 1634 
0:0:1:562, 1728 
0:0:1:577, 1843 
