Time, Data
0:0:0:0, 1963 
0:0:0:21, 1974 
0:0:0:37, 1968 
0:0:0:53, 1960 
0:0:0:68, 1944 
0:0:0:83, 1900 
0:0:0:99, 1851 
0:0:0:114, 1795 
0:0:0:130, 1744 
0:0:0:145, 1694 
0:0:0:160, 1659 
0:0:0:175, 1625 
0:0:0:190, 1593 
0:0:0:206, 1553 
0:0:0:222, 1503 
0:0:0:237, 1478 
0:0:0:253, 1465 
0:0:0:269, 1424 
0:0:0:285, 1394 
0:0:0:301, 1353 
0:0:0:317, 1355 
0:0:0:333, 1414 
0:0:0:349, 1587 
0:0:0:365, 1891 
0:0:0:381, 2259 
0:0:0:396, 2521 
0:0:0:412, 2809 
0:0:0:427, 3011 
0:0:0:443, 3063 
0:0:0:459, 3037 
0:0:0:475, 2935 
0:0:0:491, 2794 
0:0:0:506, 2620 
0:0:0:522, 2428 
0:0:0:538, 2207 
0:0:0:554, 2080 
0:0:0:569, 1926 
0:0:0:585, 1790 
0:0:0:601, 1739 
0:0:0:616, 1757 
0:0:0:632, 1809 
0:0:0:647, 1866 
0:0:0:662, 1936 
0:0:0:678, 2020 
0:0:0:694, 2069 
0:0:0:710, 2087 
0:0:0:726, 2068 
0:0:0:742, 2053 
0:0:0:758, 2017 
0:0:0:774, 1959 
0:0:0:790, 1898 
0:0:0:806, 1808 
0:0:0:821, 1746 
0:0:0:837, 1694 
0:0:0:853, 1647 
0:0:0:869, 1608 
0:0:0:884, 1590 
0:0:0:899, 1558 
0:0:0:915, 1515 
0:0:0:930, 1479 
0:0:0:946, 1479 
0:0:0:962, 1640 
0:0:0:978, 1914 
0:0:0:994, 2261 
0:0:1:9, 2530 
0:0:1:25, 2841 
0:0:1:41, 2905 
0:0:1:57, 3078 
0:0:1:73, 3156 
0:0:1:89, 3183 
0:0:1:104, 3139 
0:0:1:119, 3091 
0:0:1:135, 2964 
0:0:1:151, 2790 
0:0:1:166, 2651 
0:0:1:181, 2516 
0:0:1:197, 2382 
0:0:1:212, 2206 
0:0:1:228, 2057 
0:0:1:244, 2006 
0:0:1:260, 1941 
0:0:1:276, 1931 
0:0:1:291, 1968 
0:0:1:306, 2038 
0:0:1:322, 2098 
0:0:1:338, 2135 
0:0:1:353, 2166 
0:0:1:368, 2180 
0:0:1:384, 2204 
0:0:1:400, 2212 
0:0:1:416, 2201 
0:0:1:431, 2175 
0:0:1:447, 2126 
0:0:1:462, 2082 
0:0:1:478, 2056 
0:0:1:494, 1986 
0:0:1:510, 1947 
0:0:1:525, 1892 
0:0:1:541, 1836 
0:0:1:556, 1781 
0:0:1:572, 1718 
0:0:1:587, 1663 
0:0:1:602, 1619 
0:0:1:618, 1575 
0:0:1:634, 1550 
0:0:1:650, 1538 
0:0:1:665, 1555 
0:0:1:681, 1636 
0:0:1:697, 1861 
0:0:1:713, 2209 
0:0:1:729, 2515 
0:0:1:745, 2898 
0:0:1:761, 3193 
0:0:1:777, 3411 
0:0:1:793, 3473 
0:0:1:808, 3459 
0:0:1:823, 3409 
0:0:1:838, 3295 
0:0:1:853, 3194 
0:0:1:868, 3041 
0:0:1:884, 2917 
0:0:1:900, 2798 
0:0:1:915, 2649 
0:0:1:931, 2501 
0:0:1:947, 2401 
0:0:1:963, 2349 
0:0:1:978, 2317 
0:0:1:993, 2325 
0:0:2:9, 2354 
0:0:2:25, 2383 
0:0:2:41, 2410 
0:0:2:56, 2415 
0:0:2:71, 2405 
0:0:2:86, 2384 
0:0:2:102, 2333 
0:0:2:117, 2281 
0:0:2:133, 2223 
0:0:2:149, 2158 
0:0:2:165, 2104 
0:0:2:181, 2048 
0:0:2:197, 1980 
0:0:2:213, 1935 
0:0:2:229, 1884 
0:0:2:245, 1830 
0:0:2:261, 1790 
0:0:2:277, 1726 
0:0:2:292, 1693 
0:0:2:307, 1664 
0:0:2:323, 1647 
0:0:2:339, 1678 
0:0:2:355, 1876 
0:0:2:371, 2180 
0:0:2:387, 2574 
0:0:2:403, 2975 
0:0:2:418, 3386 
0:0:2:434, 3622 
0:0:2:450, 3716 
0:0:2:466, 3690 
0:0:2:481, 3595 
0:0:2:496, 3501 
0:0:2:512, 3367 
0:0:2:527, 3216 
0:0:2:542, 3070 
0:0:2:558, 2933 
0:0:2:574, 2802 
0:0:2:590, 2702 
0:0:2:605, 2633 
0:0:2:621, 2583 
0:0:2:637, 2560 
0:0:2:653, 2556 
0:0:2:668, 2551 
0:0:2:684, 2547 
0:0:2:700, 2531 
0:0:2:715, 2510 
0:0:2:731, 2467 
0:0:2:747, 2410 
0:0:2:762, 2361 
0:0:2:777, 2323 
0:0:2:793, 2257 
0:0:2:809, 2180 
0:0:2:824, 2089 
0:0:2:839, 2037 
0:0:2:855, 1967 
0:0:2:871, 1893 
0:0:2:887, 1836 
0:0:2:902, 1791 
0:0:2:918, 1740 
0:0:2:934, 1700 
0:0:2:950, 1641 
0:0:2:966, 1611 
0:0:2:982, 1596 
0:0:2:997, 1658 
0:0:3:13, 1836 
0:0:3:28, 2125 
0:0:3:43, 2495 
0:0:3:59, 2869 
0:0:3:74, 3197 
0:0:3:90, 3490 
0:0:3:105, 3542 
0:0:3:120, 3547 
0:0:3:136, 3542 
0:0:3:152, 3490 
0:0:3:168, 3391 
0:0:3:183, 3365 
0:0:3:199, 3287 
0:0:3:214, 3162 
0:0:3:229, 3064 
0:0:3:244, 2936 
0:0:3:260, 2814 
0:0:3:276, 2693 
0:0:3:292, 2610 
0:0:3:308, 2538 
0:0:3:324, 2501 
0:0:3:339, 2486 
0:0:3:355, 2464 
0:0:3:371, 2450 
0:0:3:387, 2414 
0:0:3:402, 2386 
0:0:3:418, 2360 
0:0:3:434, 2288 
0:0:3:449, 2226 
0:0:3:464, 2177 
0:0:3:479, 2102 
0:0:3:495, 2029 
0:0:3:511, 1980 
0:0:3:527, 1908 
0:0:3:542, 1876 
0:0:3:558, 1838 
0:0:3:574, 1774 
0:0:3:589, 1703 
0:0:3:604, 1633 
0:0:3:619, 1572 
0:0:3:635, 1529 
0:0:3:650, 1500 
0:0:3:665, 1464 
0:0:3:681, 1431 
0:0:3:696, 1396 
0:0:3:711, 1378 
0:0:3:727, 1403 
0:0:3:743, 1531 
0:0:3:758, 1717 
0:0:3:773, 2154 
0:0:3:789, 2538 
0:0:3:805, 2887 
