Time, Data
0:0:0:0, 2731 
0:0:0:18, 2982 
0:0:0:34, 3050 
0:0:0:50, 3115 
0:0:0:65, 3118 
0:0:0:81, 3089 
0:0:0:96, 3054 
0:0:0:112, 2984 
0:0:0:128, 2885 
0:0:0:143, 2782 
0:0:0:159, 2705 
0:0:0:175, 2594 
0:0:0:191, 2545 
0:0:0:206, 2413 
0:0:0:221, 2337 
0:0:0:237, 2241 
0:0:0:253, 2175 
0:0:0:269, 2139 
0:0:0:285, 2112 
0:0:0:301, 2108 
0:0:0:317, 2112 
0:0:0:332, 2110 
0:0:0:348, 2114 
0:0:0:364, 2100 
0:0:0:380, 2078 
0:0:0:395, 2030 
0:0:0:411, 1969 
0:0:0:426, 1930 
0:0:0:441, 1880 
0:0:0:456, 1830 
0:0:0:472, 1772 
0:0:0:487, 1731 
0:0:0:503, 1695 
0:0:0:519, 1648 
0:0:0:535, 1624 
0:0:0:551, 1583 
0:0:0:567, 1560 
0:0:0:583, 1538 
0:0:0:599, 1518 
0:0:0:614, 1505 
0:0:0:629, 1480 
0:0:0:644, 1454 
0:0:0:660, 1445 
0:0:0:675, 1437 
0:0:0:690, 1441 
0:0:0:705, 1466 
0:0:0:720, 1524 
0:0:0:735, 1673 
0:0:0:751, 1916 
0:0:0:767, 2279 
0:0:0:783, 2500 
0:0:0:799, 2767 
0:0:0:815, 2990 
0:0:0:831, 3109 
0:0:0:847, 3157 
0:0:0:862, 3165 
0:0:0:878, 3142 
0:0:0:893, 3072 
0:0:0:908, 2999 
0:0:0:923, 2897 
0:0:0:938, 2808 
0:0:0:954, 2656 
0:0:0:970, 2549 
0:0:0:986, 2405 
0:0:1:2, 2298 
0:0:1:18, 2233 
0:0:1:34, 2195 
0:0:1:50, 2160 
0:0:1:66, 2116 
0:0:1:82, 2097 
0:0:1:97, 2091 
0:0:1:113, 2084 
0:0:1:129, 2075 
0:0:1:144, 2043 
0:0:1:159, 2023 
0:0:1:174, 1995 
0:0:1:189, 1955 
0:0:1:204, 1918 
0:0:1:220, 1904 
0:0:1:236, 1865 
0:0:1:251, 1838 
0:0:1:267, 1802 
0:0:1:283, 1757 
0:0:1:298, 1719 
0:0:1:314, 1685 
0:0:1:329, 1664 
0:0:1:344, 1634 
0:0:1:359, 1612 
0:0:1:374, 1582 
0:0:1:390, 1561 
0:0:1:405, 1549 
0:0:1:421, 1530 
0:0:1:437, 1511 
0:0:1:453, 1488 
0:0:1:469, 1462 
0:0:1:485, 1445 
0:0:1:501, 1443 
0:0:1:517, 1439 
0:0:1:532, 1438 
0:0:1:547, 1433 
0:0:1:563, 1418 
0:0:1:579, 1405 
0:0:1:595, 1424 
0:0:1:610, 1497 
0:0:1:625, 1659 
0:0:1:641, 1910 
0:0:1:657, 2204 
0:0:1:673, 2513 
0:0:1:689, 2790 
0:0:1:704, 3037 
0:0:1:719, 3162 
0:0:1:735, 3195 
0:0:1:751, 3194 
0:0:1:766, 3149 
0:0:1:781, 3065 
0:0:1:797, 2976 
0:0:1:813, 2888 
0:0:1:828, 2823 
0:0:1:844, 2728 
0:0:1:859, 2617 
0:0:1:875, 2503 
0:0:1:890, 2388 
0:0:1:905, 2292 
0:0:1:921, 2236 
0:0:1:936, 2189 
0:0:1:952, 2153 
0:0:1:967, 2140 
0:0:1:982, 2132 
0:0:1:998, 2123 
0:0:2:14, 2085 
0:0:2:30, 2060 
0:0:2:46, 2014 
0:0:2:62, 1950 
0:0:2:77, 1911 
0:0:2:92, 1898 
0:0:2:107, 1854 
0:0:2:123, 1832 
0:0:2:138, 1812 
0:0:2:152, 1784 
0:0:2:168, 1747 
0:0:2:183, 1675 
0:0:2:198, 1612 
0:0:2:214, 1561 
0:0:2:230, 1521 
0:0:2:245, 1489 
0:0:2:260, 1479 
0:0:2:276, 1462 
0:0:2:291, 1434 
0:0:2:307, 1405 
0:0:2:322, 1377 
0:0:2:337, 1372 
0:0:2:352, 1368 
0:0:2:368, 1352 
0:0:2:383, 1343 
0:0:2:398, 1333 
0:0:2:414, 1322 
0:0:2:430, 1307 
0:0:2:446, 1300 
0:0:2:461, 1350 
0:0:2:476, 1477 
0:0:2:492, 1738 
0:0:2:507, 2018 
0:0:2:522, 2244 
0:0:2:537, 2321 
0:0:2:552, 2396 
0:0:2:567, 2544 
0:0:2:582, 2748 
0:0:2:598, 2992 
0:0:2:614, 3091 
0:0:2:629, 3128 
0:0:2:644, 3147 
0:0:2:659, 3134 
0:0:2:675, 3070 
0:0:2:691, 2973 
0:0:2:706, 2874 
0:0:2:722, 2779 
0:0:2:738, 2657 
0:0:2:754, 2582 
0:0:2:770, 2447 
0:0:2:785, 2364 
0:0:2:800, 2265 
0:0:2:816, 2190 
0:0:2:831, 2136 
0:0:2:847, 2072 
0:0:2:862, 2034 
0:0:2:878, 2012 
0:0:2:893, 1996 
0:0:2:909, 1981 
0:0:2:925, 1966 
0:0:2:941, 1951 
0:0:2:957, 1917 
0:0:2:973, 1874 
0:0:2:988, 1820 
0:0:3:4, 1768 
0:0:3:19, 1706 
0:0:3:34, 1664 
0:0:3:50, 1609 
0:0:3:65, 1578 
0:0:3:80, 1554 
0:0:3:95, 1518 
0:0:3:111, 1481 
0:0:3:127, 1455 
0:0:3:143, 1425 
0:0:3:159, 1415 
0:0:3:175, 1401 
0:0:3:190, 1394 
0:0:3:205, 1386 
0:0:3:220, 1377 
0:0:3:236, 1359 
0:0:3:251, 1373 
0:0:3:266, 1400 
0:0:3:281, 1486 
0:0:3:297, 1651 
0:0:3:313, 1951 
0:0:3:329, 2240 
0:0:3:345, 2522 
0:0:3:360, 2765 
0:0:3:375, 2966 
0:0:3:391, 3061 
0:0:3:406, 3065 
0:0:3:422, 3014 
0:0:3:437, 2918 
0:0:3:453, 2806 
0:0:3:469, 2666 
0:0:3:484, 2570 
0:0:3:500, 2474 
0:0:3:516, 2370 
0:0:3:532, 2255 
0:0:3:547, 2158 
0:0:3:562, 2088 
0:0:3:578, 2039 
0:0:3:594, 2001 
0:0:3:609, 1991 
0:0:3:625, 1991 
0:0:3:641, 1987 
0:0:3:657, 1988 
0:0:3:673, 1956 
0:0:3:689, 1924 
0:0:3:705, 1871 
0:0:3:721, 1807 
0:0:3:737, 1772 
0:0:3:753, 1722 
0:0:3:768, 1684 
0:0:3:784, 1638 
0:0:3:799, 1578 
0:0:3:814, 1551 
0:0:3:830, 1533 
0:0:3:846, 1506 
0:0:3:862, 1495 
0:0:3:878, 1478 
0:0:3:894, 1460 
0:0:3:910, 1450 
0:0:3:925, 1432 
0:0:3:940, 1421 
0:0:3:956, 1406 
0:0:3:972, 1388 
0:0:3:988, 1382 
0:0:4:3, 1435 
0:0:4:19, 1578 
0:0:4:35, 1751 
0:0:4:50, 2036 
0:0:4:65, 2344 
0:0:4:80, 2646 
0:0:4:95, 2929 
0:0:4:110, 3092 
0:0:4:126, 3176 
0:0:4:141, 3191 
0:0:4:157, 3134 
0:0:4:173, 3050 
0:0:4:188, 2932 
0:0:4:203, 2830 
0:0:4:219, 2712 
0:0:4:235, 2596 
0:0:4:251, 2472 
0:0:4:266, 2356 
0:0:4:281, 2231 
0:0:4:297, 2156 
0:0:4:313, 2087 
0:0:4:329, 2064 
0:0:4:345, 2043 
0:0:4:361, 2024 
0:0:4:377, 1997 
0:0:4:393, 1969 
0:0:4:409, 1941 
0:0:4:425, 1888 
0:0:4:440, 1852 
0:0:4:456, 1811 
0:0:4:471, 1762 
0:0:4:486, 1721 
0:0:4:501, 1680 
0:0:4:516, 1646 
0:0:4:531, 1612 
0:0:4:546, 1579 
0:0:4:561, 1538 
0:0:4:576, 1515 
0:0:4:591, 1481 
0:0:4:607, 1459 
0:0:4:623, 1442 
0:0:4:639, 1407 
0:0:4:655, 1388 
0:0:4:671, 1374 
0:0:4:687, 1364 
0:0:4:702, 1350 
0:0:4:717, 1349 
0:0:4:732, 1342 
0:0:4:747, 1331 
0:0:4:763, 1353 
0:0:4:778, 1435 
0:0:4:794, 1616 
0:0:4:810, 1986 
0:0:4:825, 2325 
0:0:4:840, 2671 
0:0:4:856, 2959 
0:0:4:872, 3205 
0:0:4:887, 3258 
0:0:4:902, 3257 
0:0:4:918, 3208 
0:0:4:934, 3099 
0:0:4:950, 2990 
0:0:4:965, 2908 
0:0:4:980, 2784 
0:0:4:995, 2665 
0:0:5:11, 2553 
0:0:5:27, 2434 
0:0:5:43, 2322 
0:0:5:59, 2215 
0:0:5:74, 2134 
0:0:5:90, 2075 
0:0:5:105, 2044 
0:0:5:121, 2033 
0:0:5:137, 2023 
0:0:5:153, 2018 
0:0:5:169, 2003 
0:0:5:185, 1969 
0:0:5:200, 1942 
0:0:5:215, 1909 
0:0:5:231, 1851 
0:0:5:247, 1818 
0:0:5:263, 1763 
0:0:5:279, 1698 
0:0:5:295, 1666 
0:0:5:311, 1608 
0:0:5:327, 1556 
0:0:5:343, 1506 
0:0:5:359, 1482 
0:0:5:375, 1459 
0:0:5:390, 1434 
0:0:5:405, 1401 
0:0:5:421, 1365 
0:0:5:436, 1339 
0:0:5:452, 1317 
0:0:5:468, 1309 
0:0:5:484, 1309 
0:0:5:500, 1309 
0:0:5:516, 1321 
0:0:5:532, 1317 
0:0:5:547, 1305 
0:0:5:562, 1300 
0:0:5:577, 1300 
0:0:5:593, 1332 
0:0:5:609, 1439 
0:0:5:625, 1698 
0:0:5:640, 2003 
0:0:5:656, 2351 
0:0:5:671, 2680 
0:0:5:686, 3057 
0:0:5:701, 3179 
0:0:5:717, 3249 
0:0:5:733, 3225 
0:0:5:749, 3143 
0:0:5:765, 3030 
0:0:5:781, 2897 
0:0:5:797, 2751 
0:0:5:812, 2641 
0:0:5:828, 2522 
0:0:5:844, 2384 
0:0:5:859, 2280 
0:0:5:875, 2182 
0:0:5:890, 2105 
0:0:5:905, 2075 
0:0:5:920, 2041 
0:0:5:936, 2026 
0:0:5:951, 2019 
0:0:5:967, 2017 
0:0:5:983, 2007 
0:0:5:999, 1974 
0:0:6:14, 1934 
0:0:6:29, 1911 
0:0:6:45, 1869 
0:0:6:60, 1813 
0:0:6:76, 1763 
0:0:6:92, 1708 
0:0:6:107, 1670 
0:0:6:123, 1619 
0:0:6:138, 1575 
0:0:6:153, 1533 
0:0:6:169, 1489 
0:0:6:184, 1455 
0:0:6:199, 1421 
0:0:6:215, 1403 
0:0:6:230, 1402 
0:0:6:246, 1401 
0:0:6:262, 1398 
0:0:6:278, 1399 
0:0:6:293, 1392 
0:0:6:309, 1386 
0:0:6:325, 1366 
0:0:6:341, 1347 
0:0:6:356, 1351 
0:0:6:371, 1413 
0:0:6:386, 1574 
0:0:6:401, 1822 
0:0:6:417, 2224 
0:0:6:433, 2626 
0:0:6:449, 2915 
0:0:6:464, 3116 
0:0:6:479, 3171 
0:0:6:494, 3156 
0:0:6:510, 3092 
0:0:6:526, 3010 
0:0:6:541, 2908 
0:0:6:557, 2809 
0:0:6:573, 2708 
