Time, Data
0:0:0:0, 1952 
0:0:0:16, 1943 
0:0:0:31, 1961 
0:0:0:47, 1996 
0:0:0:63, 2022 
0:0:0:79, 2047 
0:0:0:94, 2059 
0:0:0:109, 2062 
0:0:0:124, 2058 
0:0:0:139, 2050 
0:0:0:154, 2035 
0:0:0:170, 2006 
0:0:0:185, 1973 
0:0:0:200, 1933 
0:0:0:215, 1873 
0:0:0:230, 1819 
0:0:0:246, 1765 
0:0:0:261, 1717 
0:0:0:277, 1688 
0:0:0:293, 1654 
0:0:0:309, 1639 
0:0:0:324, 1615 
0:0:0:339, 1594 
0:0:0:355, 1576 
0:0:0:371, 1565 
0:0:0:387, 1548 
0:0:0:402, 1532 
0:0:0:418, 1515 
0:0:0:434, 1505 
0:0:0:450, 1491 
0:0:0:465, 1486 
0:0:0:480, 1490 
0:0:0:495, 1495 
0:0:0:511, 1494 
0:0:0:527, 1495 
0:0:0:543, 1496 
0:0:0:558, 1494 
0:0:0:573, 1487 
0:0:0:589, 1484 
0:0:0:605, 1494 
0:0:0:620, 1547 
0:0:0:636, 1709 
0:0:0:652, 1929 
0:0:0:668, 2221 
0:0:0:683, 2549 
0:0:0:699, 2856 
0:0:0:714, 3124 
0:0:0:730, 3250 
0:0:0:746, 3318 
0:0:0:762, 3293 
0:0:0:778, 3201 
0:0:0:794, 3068 
0:0:0:809, 3032 
0:0:0:824, 2922 
0:0:0:840, 2848 
0:0:0:855, 2744 
0:0:0:870, 2619 
0:0:0:886, 2502 
0:0:0:902, 2390 
0:0:0:918, 2286 
0:0:0:934, 2213 
0:0:0:950, 2137 
0:0:0:966, 2089 
0:0:0:981, 2068 
0:0:0:996, 2052 
0:0:1:11, 2049 
0:0:1:26, 2054 
0:0:1:41, 2061 
0:0:1:57, 2071 
0:0:1:73, 2081 
0:0:1:88, 2086 
0:0:1:104, 2084 
0:0:1:120, 2071 
0:0:1:135, 2060 
0:0:1:151, 2044 
0:0:1:167, 2019 
0:0:1:183, 1972 
0:0:1:199, 1899 
0:0:1:215, 1853 
0:0:1:230, 1795 
0:0:1:245, 1740 
0:0:1:260, 1691 
0:0:1:275, 1661 
0:0:1:290, 1620 
0:0:1:305, 1604 
0:0:1:320, 1578 
0:0:1:336, 1556 
0:0:1:352, 1540 
0:0:1:368, 1522 
0:0:1:383, 1510 
0:0:1:399, 1497 
0:0:1:414, 1497 
0:0:1:430, 1505 
0:0:1:446, 1505 
0:0:1:462, 1501 
0:0:1:478, 1499 
0:0:1:493, 1497 
0:0:1:508, 1496 
0:0:1:524, 1497 
0:0:1:540, 1497 
0:0:1:556, 1494 
0:0:1:572, 1491 
0:0:1:588, 1495 
0:0:1:604, 1533 
0:0:1:620, 1643 
0:0:1:636, 1841 
0:0:1:652, 2044 
0:0:1:668, 2445 
0:0:1:683, 2758 
0:0:1:699, 3018 
0:0:1:714, 3183 
0:0:1:729, 3272 
0:0:1:744, 3277 
0:0:1:759, 3231 
0:0:1:775, 3121 
0:0:1:791, 2981 
0:0:1:807, 2899 
0:0:1:823, 2752 
0:0:1:839, 2618 
0:0:1:855, 2495 
0:0:1:870, 2376 
0:0:1:886, 2267 
0:0:1:902, 2146 
0:0:1:918, 2079 
0:0:1:934, 2038 
0:0:1:950, 2015 
0:0:1:965, 2012 
0:0:1:980, 2023 
0:0:1:995, 2049 
0:0:2:11, 2068 
0:0:2:27, 2081 
0:0:2:43, 2084 
0:0:2:59, 2066 
0:0:2:75, 2020 
0:0:2:91, 1974 
0:0:2:106, 1916 
0:0:2:121, 1862 
0:0:2:137, 1806 
0:0:2:153, 1750 
0:0:2:169, 1707 
0:0:2:184, 1665 
0:0:2:199, 1627 
0:0:2:214, 1594 
0:0:2:230, 1562 
0:0:2:246, 1544 
0:0:2:262, 1531 
0:0:2:278, 1518 
0:0:2:294, 1497 
0:0:2:310, 1488 
0:0:2:326, 1469 
0:0:2:341, 1457 
0:0:2:357, 1450 
0:0:2:373, 1448 
0:0:2:388, 1445 
0:0:2:404, 1453 
0:0:2:420, 1469 
0:0:2:435, 1478 
0:0:2:450, 1475 
0:0:2:465, 1464 
0:0:2:480, 1461 
0:0:2:496, 1498 
0:0:2:512, 1649 
0:0:2:528, 1857 
0:0:2:543, 2214 
0:0:2:559, 2543 
0:0:2:575, 2857 
0:0:2:590, 3139 
0:0:2:605, 3271 
0:0:2:621, 3297 
0:0:2:637, 3223 
0:0:2:653, 3134 
0:0:2:668, 2950 
0:0:2:683, 2801 
0:0:2:698, 2653 
0:0:2:713, 2520 
0:0:2:729, 2401 
0:0:2:744, 2264 
0:0:2:759, 2165 
0:0:2:775, 2076 
0:0:2:790, 2024 
0:0:2:806, 1997 
0:0:2:822, 1969 
0:0:2:838, 1973 
0:0:2:854, 2004 
0:0:2:869, 2039 
0:0:2:884, 2072 
0:0:2:899, 2094 
0:0:2:914, 2098 
0:0:2:930, 2064 
0:0:2:946, 2022 
0:0:2:962, 1970 
0:0:2:977, 1942 
0:0:2:993, 1913 
0:0:3:8, 1885 
0:0:3:24, 1871 
0:0:3:40, 1842 
0:0:3:55, 1805 
0:0:3:71, 1769 
0:0:3:86, 1736 
0:0:3:101, 1696 
0:0:3:117, 1659 
0:0:3:132, 1631 
0:0:3:147, 1604 
0:0:3:163, 1579 
0:0:3:179, 1555 
0:0:3:195, 1539 
0:0:3:210, 1526 
0:0:3:225, 1513 
0:0:3:241, 1498 
0:0:3:257, 1492 
