Time, Data
0:0:0:0, 2044 
0:0:0:17, 2031 
0:0:0:33, 2010 
0:0:0:49, 1997 
0:0:0:64, 1984 
0:0:0:80, 1963 
0:0:0:95, 1950 
0:0:0:111, 1920 
0:0:0:127, 1904 
0:0:0:143, 1893 
0:0:0:158, 1881 
0:0:0:174, 1869 
0:0:0:190, 1856 
0:0:0:206, 1847 
0:0:0:221, 1839 
0:0:0:237, 1833 
0:0:0:252, 1829 
0:0:0:268, 1836 
0:0:0:284, 1858 
0:0:0:300, 1899 
0:0:0:316, 2011 
0:0:0:332, 2096 
0:0:0:347, 2216 
0:0:0:363, 2342 
0:0:0:379, 2425 
0:0:0:395, 2439 
0:0:0:410, 2439 
0:0:0:426, 2418 
0:0:0:441, 2389 
0:0:0:457, 2366 
0:0:0:473, 2327 
0:0:0:489, 2313 
0:0:0:504, 2270 
0:0:0:520, 2210 
0:0:0:535, 2180 
0:0:0:551, 2152 
0:0:0:566, 2125 
0:0:0:582, 2088 
0:0:0:597, 2064 
0:0:0:613, 2049 
0:0:0:628, 2045 
0:0:0:643, 2053 
0:0:0:659, 2074 
0:0:0:675, 2091 
0:0:0:690, 2105 
0:0:0:706, 2099 
0:0:0:722, 2078 
0:0:0:737, 2050 
0:0:0:753, 2024 
0:0:0:768, 1996 
0:0:0:784, 1958 
0:0:0:799, 1922 
0:0:0:814, 1895 
0:0:0:829, 1868 
0:0:0:845, 1851 
0:0:0:860, 1836 
0:0:0:876, 1824 
0:0:0:892, 1821 
0:0:0:907, 1821 
0:0:0:923, 1823 
0:0:0:938, 1825 
0:0:0:954, 1837 
0:0:0:970, 1853 
0:0:0:986, 1891 
0:0:1:2, 1949 
0:0:1:17, 1998 
0:0:1:32, 2052 
0:0:1:48, 2167 
0:0:1:64, 2249 
0:0:1:80, 2337 
0:0:1:95, 2378 
0:0:1:110, 2405 
0:0:1:126, 2412 
0:0:1:142, 2408 
0:0:1:159, 2397 
0:0:1:173, 2381 
0:0:1:188, 2372 
0:0:1:203, 2350 
0:0:1:218, 2327 
0:0:1:234, 2301 
0:0:1:251, 2275 
0:0:1:266, 2234 
0:0:1:281, 2206 
0:0:1:297, 2178 
0:0:1:315, 2125 
0:0:1:328, 2102 
0:0:1:344, 2066 
0:0:1:360, 2047 
0:0:1:375, 2044 
0:0:1:391, 2051 
0:0:1:407, 2071 
0:0:1:423, 2094 
0:0:1:439, 2100 
0:0:1:454, 2090 
0:0:1:469, 2071 
0:0:1:485, 2055 
0:0:1:500, 2036 
0:0:1:516, 2023 
0:0:1:531, 2003 
0:0:1:547, 1974 
0:0:1:562, 1946 
0:0:1:578, 1921 
0:0:1:594, 1909 
0:0:1:609, 1893 
0:0:1:625, 1868 
0:0:1:641, 1851 
0:0:1:656, 1836 
0:0:1:672, 1829 
0:0:1:688, 1823 
0:0:1:703, 1820 
0:0:1:719, 1818 
0:0:1:735, 1818 
0:0:1:751, 1829 
0:0:1:766, 1879 
0:0:1:782, 1934 
0:0:1:798, 2006 
0:0:1:814, 2115 
0:0:1:830, 2223 
0:0:1:846, 2292 
0:0:1:861, 2365 
0:0:1:877, 2385 
0:0:1:892, 2386 
0:0:1:908, 2371 
0:0:1:924, 2324 
0:0:1:940, 2262 
0:0:1:956, 2193 
0:0:1:971, 2136 
0:0:1:986, 2088 
0:0:2:1, 2054 
0:0:2:16, 2040 
0:0:2:31, 2039 
0:0:2:46, 2059 
0:0:2:62, 2085 
0:0:2:77, 2096 
0:0:2:93, 2096 
0:0:2:108, 2088 
0:0:2:123, 2062 
0:0:2:139, 2045 
0:0:2:154, 2018 
0:0:2:170, 1983 
0:0:2:186, 1942 
0:0:2:202, 1914 
0:0:2:217, 1885 
0:0:2:233, 1869 
0:0:2:248, 1854 
0:0:2:265, 1846 
0:0:2:281, 1838 
0:0:2:297, 1833 
0:0:2:313, 1830 
0:0:2:328, 1827 
0:0:2:345, 1826 
0:0:2:360, 1825 
0:0:2:375, 1833 
0:0:2:391, 1852 
0:0:2:406, 1904 
0:0:2:422, 1964 
0:0:2:438, 2038 
0:0:2:454, 2148 
0:0:2:469, 2273 
0:0:2:484, 2351 
0:0:2:500, 2381 
0:0:2:516, 2384 
0:0:2:531, 2375 
0:0:2:547, 2356 
0:0:2:563, 2328 
0:0:2:578, 2281 
0:0:2:594, 2255 
0:0:2:610, 2243 
0:0:2:625, 2188 
0:0:2:641, 2174 
0:0:2:657, 2134 
0:0:2:672, 2110 
0:0:2:687, 2079 
0:0:2:702, 2054 
0:0:2:718, 2039 
0:0:2:734, 2038 
0:0:2:749, 2050 
0:0:2:764, 2067 
0:0:2:780, 2081 
0:0:2:795, 2088 
0:0:2:811, 2089 
0:0:2:826, 2090 
0:0:2:842, 2084 
0:0:2:858, 2074 
0:0:2:873, 2055 
0:0:2:889, 2037 
0:0:2:905, 2010 
0:0:2:920, 1983 
0:0:2:936, 1944 
0:0:2:952, 1920 
0:0:2:968, 1888 
0:0:2:984, 1873 
0:0:2:999, 1857 
0:0:3:14, 1846 
0:0:3:30, 1837 
0:0:3:46, 1829 
0:0:3:62, 1824 
0:0:3:78, 1820 
0:0:3:94, 1819 
0:0:3:109, 1818 
0:0:3:125, 1816 
0:0:3:141, 1812 
0:0:3:157, 1810 
0:0:3:172, 1821 
0:0:3:188, 1872 
0:0:3:203, 1950 
0:0:3:219, 2085 
0:0:3:234, 2201 
0:0:3:250, 2320 
0:0:3:265, 2394 
0:0:3:279, 2404 
0:0:3:296, 2394 
0:0:3:311, 2373 
0:0:3:326, 2334 
0:0:3:342, 2276 
0:0:3:358, 2199 
0:0:3:373, 2172 
0:0:3:389, 2135 
0:0:3:404, 2085 
0:0:3:421, 2058 
0:0:3:436, 2057 
0:0:3:452, 2071 
0:0:3:468, 2092 
0:0:3:484, 2100 
0:0:3:499, 2103 
0:0:3:514, 2110 
0:0:3:530, 2109 
0:0:3:545, 2092 
0:0:3:561, 2066 
0:0:3:576, 2048 
0:0:3:591, 2034 
0:0:3:607, 2020 
0:0:3:623, 2005 
0:0:3:638, 1982 
0:0:3:653, 1947 
0:0:3:669, 1924 
0:0:3:685, 1899 
0:0:3:701, 1883 
0:0:3:716, 1872 
0:0:3:732, 1862 
0:0:3:747, 1854 
0:0:3:762, 1847 
0:0:3:777, 1841 
0:0:3:793, 1838 
0:0:3:808, 1835 
0:0:3:824, 1833 
0:0:3:839, 1830 
0:0:3:854, 1826 
0:0:3:869, 1822 
0:0:3:885, 1819 
0:0:3:900, 1825 
0:0:3:916, 1836 
0:0:3:931, 1867 
0:0:3:946, 1940 
0:0:3:962, 2046 
0:0:3:978, 2221 
0:0:3:993, 2319 
0:0:4:9, 2404 
0:0:4:25, 2421 
0:0:4:41, 2397 
0:0:4:56, 2370 
0:0:4:72, 2325 
0:0:4:87, 2274 
0:0:4:103, 2236 
0:0:4:119, 2169 
0:0:4:134, 2145 
0:0:4:149, 2103 
0:0:4:165, 2071 
0:0:4:181, 2065 
0:0:4:197, 2066 
0:0:4:213, 2075 
0:0:4:228, 2086 
0:0:4:244, 2094 
0:0:4:260, 2099 
0:0:4:275, 2109 
0:0:4:290, 2114 
0:0:4:306, 2116 
0:0:4:322, 2113 
0:0:4:337, 2108 
0:0:4:352, 2100 
0:0:4:368, 2077 
0:0:4:384, 2064 
0:0:4:399, 2043 
0:0:4:415, 2021 
0:0:4:431, 1992 
0:0:4:446, 1977 
0:0:4:462, 1940 
0:0:4:478, 1913 
0:0:4:494, 1882 
0:0:4:509, 1862 
0:0:4:525, 1846 
0:0:4:540, 1833 
0:0:4:556, 1826 
0:0:4:572, 1819 
0:0:4:587, 1815 
0:0:4:602, 1814 
0:0:4:618, 1811 
0:0:4:634, 1807 
0:0:4:649, 1804 
0:0:4:665, 1800 
0:0:4:681, 1797 
0:0:4:696, 1794 
0:0:4:712, 1803 
0:0:4:728, 1824 
0:0:4:744, 1883 
0:0:4:760, 1976 
0:0:4:776, 2092 
0:0:4:792, 2260 
0:0:4:807, 2366 
0:0:4:823, 2400 
0:0:4:839, 2390 
0:0:4:855, 2356 
0:0:4:871, 2302 
0:0:4:886, 2238 
0:0:4:901, 2184 
0:0:4:917, 2132 
0:0:4:933, 2099 
0:0:4:948, 2057 
0:0:4:964, 2051 
0:0:4:980, 2050 
0:0:4:996, 2061 
0:0:5:12, 2076 
0:0:5:27, 2089 
0:0:5:43, 2091 
0:0:5:59, 2079 
0:0:5:74, 2067 
0:0:5:90, 2039 
0:0:5:106, 2013 
0:0:5:122, 1972 
0:0:5:138, 1937 
0:0:5:153, 1912 
0:0:5:168, 1889 
0:0:5:184, 1864 
0:0:5:199, 1843 
0:0:5:215, 1829 
0:0:5:231, 1820 
0:0:5:246, 1814 
0:0:5:262, 1811 
0:0:5:277, 1809 
0:0:5:292, 1807 
0:0:5:308, 1806 
0:0:5:324, 1801 
0:0:5:340, 1797 
0:0:5:356, 1796 
0:0:5:371, 1794 
0:0:5:387, 1794 
0:0:5:403, 1809 
0:0:5:418, 1840 
0:0:5:434, 1913 
0:0:5:449, 2018 
0:0:5:465, 2108 
0:0:5:480, 2222 
0:0:5:496, 2362 
0:0:5:512, 2393 
0:0:5:527, 2404 
0:0:5:543, 2393 
0:0:5:559, 2362 
0:0:5:575, 2307 
0:0:5:590, 2245 
0:0:5:606, 2179 
0:0:5:621, 2105 
0:0:5:637, 2057 
0:0:5:653, 2048 
0:0:5:668, 2065 
0:0:5:684, 2089 
0:0:5:700, 2099 
0:0:5:715, 2093 
0:0:5:730, 2078 
0:0:5:746, 2061 
0:0:5:761, 2043 
0:0:5:776, 2015 
0:0:5:792, 1979 
0:0:5:807, 1951 
0:0:5:823, 1931 
0:0:5:839, 1900 
0:0:5:854, 1889 
0:0:5:869, 1878 
0:0:5:885, 1860 
0:0:5:900, 1848 
0:0:5:916, 1838 
0:0:5:932, 1828 
0:0:5:947, 1819 
0:0:5:963, 1813 
0:0:5:978, 1808 
0:0:5:994, 1803 
0:0:6:9, 1799 
0:0:6:25, 1798 
0:0:6:41, 1810 
0:0:6:57, 1861 
0:0:6:73, 1994 
0:0:6:88, 2109 
0:0:6:103, 2224 
0:0:6:119, 2359 
0:0:6:135, 2395 
0:0:6:151, 2375 
0:0:6:167, 2340 
0:0:6:182, 2318 
0:0:6:197, 2258 
0:0:6:212, 2204 
0:0:6:227, 2136 
0:0:6:243, 2089 
0:0:6:258, 2046 
0:0:6:273, 2031 
0:0:6:288, 2029 
0:0:6:304, 2031 
0:0:6:320, 2043 
0:0:6:335, 2064 
0:0:6:351, 2078 
0:0:6:366, 2079 
0:0:6:382, 2072 
0:0:6:398, 2055 
0:0:6:413, 2028 
0:0:6:428, 2001 
0:0:6:444, 1966 
0:0:6:460, 1932 
0:0:6:475, 1900 
0:0:6:491, 1888 
0:0:6:506, 1871 
0:0:6:522, 1852 
0:0:6:537, 1835 
0:0:6:552, 1821 
0:0:6:568, 1810 
0:0:6:584, 1804 
0:0:6:599, 1803 
0:0:6:615, 1802 
0:0:6:630, 1800 
0:0:6:646, 1798 
0:0:6:662, 1796 
0:0:6:677, 1793 
0:0:6:693, 1788 
