Time, Data
0:0:0:0, 1347 
0:0:0:25, 1299 
0:0:0:40, 1274 
0:0:0:55, 1250 
0:0:0:71, 1241 
0:0:0:87, 1239 
0:0:0:102, 1248 
0:0:0:118, 1261 
0:0:0:134, 1266 
0:0:0:150, 1275 
0:0:0:166, 1282 
0:0:0:182, 1285 
0:0:0:198, 1292 
0:0:0:214, 1304 
0:0:0:230, 1371 
0:0:0:246, 1476 
0:0:0:262, 1717 
0:0:0:277, 2054 
0:0:0:292, 2439 
0:0:0:307, 2887 
0:0:0:323, 3128 
0:0:0:339, 3305 
0:0:0:355, 3355 
0:0:0:371, 3308 
0:0:0:387, 3187 
0:0:0:403, 2979 
0:0:0:419, 2794 
0:0:0:435, 2607 
0:0:0:451, 2422 
0:0:0:466, 2246 
0:0:0:481, 2088 
0:0:0:497, 1937 
0:0:0:512, 1862 
0:0:0:527, 1833 
0:0:0:542, 1844 
0:0:0:558, 1892 
0:0:0:574, 1935 
0:0:0:590, 1973 
0:0:0:606, 1980 
0:0:0:622, 1963 
0:0:0:638, 1927 
0:0:0:654, 1878 
0:0:0:670, 1819 
0:0:0:686, 1770 
0:0:0:701, 1682 
0:0:0:717, 1613 
0:0:0:733, 1547 
0:0:0:748, 1488 
0:0:0:763, 1418 
0:0:0:778, 1380 
0:0:0:793, 1321 
0:0:0:809, 1283 
0:0:0:825, 1255 
0:0:0:841, 1237 
0:0:0:857, 1222 
0:0:0:873, 1203 
0:0:0:888, 1198 
0:0:0:904, 1235 
0:0:0:920, 1419 
0:0:0:936, 1707 
0:0:0:952, 2196 
0:0:0:968, 2614 
0:0:0:983, 2976 
0:0:0:998, 3297 
0:0:1:14, 3366 
0:0:1:29, 3373 
0:0:1:44, 3365 
0:0:1:59, 3333 
0:0:1:75, 3255 
0:0:1:90, 3154 
0:0:1:105, 3011 
0:0:1:121, 2882 
0:0:1:137, 2783 
0:0:1:153, 2713 
0:0:1:169, 2655 
0:0:1:185, 2598 
0:0:1:202, 2499 
0:0:1:217, 2382 
0:0:1:232, 2282 
0:0:1:247, 2125 
0:0:1:263, 2060 
0:0:1:279, 2009 
0:0:1:294, 1980 
0:0:1:309, 1948 
0:0:1:325, 1925 
0:0:1:341, 1912 
0:0:1:356, 1926 
0:0:1:372, 1965 
0:0:1:388, 2010 
0:0:1:403, 2053 
0:0:1:419, 2079 
0:0:1:435, 2049 
0:0:1:450, 1970 
0:0:1:465, 1873 
0:0:1:481, 1746 
0:0:1:496, 1601 
0:0:1:512, 1410 
0:0:1:528, 1347 
0:0:1:544, 1342 
0:0:1:560, 1362 
0:0:1:576, 1358 
0:0:1:591, 1322 
0:0:1:607, 1252 
0:0:1:623, 1240 
0:0:1:639, 1466 
0:0:1:655, 1803 
0:0:1:670, 2051 
0:0:1:685, 2294 
0:0:1:700, 2381 
